company_id,month_index,industry,company_size,employee_total,facility_area_sqm,operating_hours_per_day,operating_days_per_week,number_of_shifts,monthly_electricity_kwh,peak_demand_kw,power_factor,renewable_energy_percent,electricity_provider,diesel_liters_monthly,petrol_liters_monthly,natural_gas_kg_monthly,lpg_kg_monthly,coal_tons_monthly,furnace_oil_liters_monthly,biomass_tons_monthly,water_consumption_kl_monthly,water_recycling_percent,metal_scrap_kg_monthly,plastic_waste_kg_monthly,organic_waste_kg_monthly,paper_waste_kg_monthly,wood_waste_kg_monthly,production_volume_monthly,raw_material_consumption_tons,avg_temperature,scope1_kg,scope2_kg,scope3_kg,total_co2_kg,emission_intensity
C001,1,Steel,Large,822,10129.8,11,7,2,93827.07,1407.41,0.857,4.68,BESCOM,13577.85,174.87,9924.18,184.94,9.5425,90.91,0,411.0,9.17,10189.5,4075.8,2037.9,2037.9,0,3948.1,197.41,24.563633644393065,90971.61,73337.06,39481.33,203790.0,247.92
C001,2,Steel,Large,740,16047.5,23,7,2,97152.12,1457.28,0.862,18.36,Adani Electricity,11396.84,79.95,8330.05,305.69,8.0097,296.21,0,370.0,2.32,9881.1,3952.4,1976.2,1976.2,0,5622.1,281.11,29.113172778521573,76358.83,65041.81,56221.0,197621.64,267.06
C001,3,Steel,Large,4051,89869.6,9,7,3,130253.2,1953.8,0.929,28.97,BESCOM,8975.52,55.16,6560.29,463.73,6.308,129.39,0,2025.5,33.13,9606.1,3842.4,1921.2,1921.2,0,5611.9,280.59,24.675666141341164,60136.0,75866.56,56118.89,192121.46,47.43
C001,4,Steel,Large,3886,184895.7,11,6,3,123142.44,1847.14,0.97,29.09,BESCOM,13736.19,135.57,10039.9,308.33,9.6538,480.59,0,1943.0,42.23,11241.5,4496.6,2248.3,2248.3,0,6119.3,305.96,31.20980165206071,92032.44,71605.14,61192.59,224830.17,57.86
C001,5,Steel,Large,1416,30940.9,20,5,1,135608.03,2034.12,0.978,18.21,BESCOM,14287.25,109.23,10442.68,217.4,10.041,7.04,0,708.0,9.94,11468.1,4587.3,2293.6,2293.6,0,4269.0,213.45,30.67012929122975,95724.59,90948.18,42689.96,229362.74,161.98
C001,6,Steel,Large,4579,201483.1,19,6,1,143676.29,2155.14,0.858,19.53,MSEDCL,15178.97,150.33,11094.44,366.37,10.6677,295.65,0,2289.5,13.74,12072.8,4829.1,2414.6,2414.6,0,4495.4,224.77,28.418651387715517,101699.08,94802.65,44953.66,241455.39,52.73
C001,7,Steel,Large,1218,24655.6,16,7,3,119471.17,1792.07,0.864,21.65,BESCOM,14713.65,66.18,10754.34,112.57,10.3407,318.21,0,609.0,15.72,9971.0,3988.4,1994.2,1994.2,0,2408.3,120.42,27.62856036747054,98581.45,76754.79,24083.12,199419.36,163.73
C001,8,Steel,Large,1182,15459.6,9,6,1,114539.09,1718.09,0.888,22.67,Tata Power,11121.14,180.72,8128.55,421.47,7.8159,93.29,0,591.0,44.63,10648.8,4259.5,2129.8,2129.8,0,6583.2,329.16,28.090133628734762,74511.67,72633.18,65831.77,212976.62,180.18
C001,9,Steel,Large,1178,31905.3,20,5,3,94018.73,1410.28,0.851,3.3,BESCOM,16070.5,130.11,11746.08,293.93,11.2943,346.22,0,589.0,13.47,11234.2,4493.7,2246.8,2246.8,0,4246.1,212.3,23.66188283371661,107672.36,74550.01,42460.97,224683.35,190.73
C001,10,Steel,Large,371,7478.1,19,6,3,113487.8,1702.32,0.915,12.12,Tata Power,11793.17,72.21,8619.73,499.1,8.2882,133.39,0,185.5,48.83,11492.9,4597.2,2298.6,2298.6,0,6905.8,345.29,26.16555519977347,79014.22,81785.7,69057.73,229857.65,619.56
