company_id,month_index,industry,company_size,employee_total,facility_area_sqm,operating_hours_per_day,operating_days_per_week,number_of_shifts,monthly_electricity_kwh,peak_demand_kw,power_factor,renewable_energy_percent,electricity_provider,diesel_liters_monthly,petrol_liters_monthly,natural_gas_kg_monthly,lpg_kg_monthly,coal_tons_monthly,furnace_oil_liters_monthly,biomass_tons_monthly,water_consumption_kl_monthly,water_recycling_percent,metal_scrap_kg_monthly,plastic_waste_kg_monthly,organic_waste_kg_monthly,paper_waste_kg_monthly,wood_waste_kg_monthly,production_volume_monthly,raw_material_consumption_tons,avg_temperature,scope1_kg,scope2_kg,scope3_kg,total_co2_kg,emission_intensity,suggest_night_shift,suggest_solar_ppa,suggest_power_factor_correction,suggest_led_lighting,suggest_waste_heat_recovery,suggest_biogas_plant,suggest_water_recycling,suggest_switch_to_png,suggest_renewable_procurement,suggest_process_optimization
C166,18,Manufacturing,Mid,582,26140.9,8,7,2,22069.37,331.04,0.944,8.33,BESCOM,2898.83,183.37,2118.78,450.72,2.0373,286.0,0,291.0,22.63,2472.2,988.9,494.4,494.4,0,1343.2,67.16,26.008205361000964,19422.17,16589.57,13431.92,49443.66,84.95,0,1,0,1,0,1,0,1,1,0
C275,11,Food_Processing,Startup,112,5135.1,12,6,1,2563.23,38.45,0.906,27.18,MSEDCL,341.12,174.49,249.33,481.1,0.2397,438.25,0,56.0,43.57,234.2,93.7,46.8,46.8,0,86.8,4.34,20.064739511054974,2285.51,1530.57,867.82,4683.9,41.82,0,0,1,0,0,0,0,0,0,0
C303,14,Pharmaceutical,SME,126,4378.8,23,6,2,5707.85,85.62,0.898,13.51,Tata Power,747.65,50.81,546.46,147.76,0.5254,302.97,0,63.0,49.55,533.0,213.2,106.6,106.6,0,160.3,8.02,30.681622928561602,5009.24,4048.17,1603.13,10660.53,84.61,0,0,1,0,0,0,0,1,0,1
C305,14,Pharmaceutical,Mid,2541,80546.6,8,6,1,5359.12,80.39,0.9,13.74,Tata Power,723.23,73.12,528.61,202.92,0.5083,415.43,0,1270.5,36.12,564.9,226.0,113.0,113.0,0,266.1,13.31,33.72200494620479,4845.62,3790.73,2661.47,11297.82,4.45,0,0,1,0,0,0,0,1,0,0
C218,12,Textile,Enterprise,1007,27206.7,22,7,3,24111.3,361.67,0.887,2.09,Adani Electricity,2453.37,151.94,1793.19,447.4,1.7242,296.4,0,503.5,28.37,2673.0,1069.2,534.6,534.6,0,1766.3,88.32,33.10567206728548,16437.58,19358.86,17663.33,53459.76,53.09,0,1,1,1,0,1,0,1,1,1
C008,6,Steel,Large,1237,19394.8,16,7,3,103000.99,1545.01,0.875,3.02,MSEDCL,14136.5,147.67,10332.5,348.37,9.9351,176.19,0,618.5,42.07,10704.6,4281.8,2140.9,2140.9,0,3746.6,187.33,27.069307510972468,94714.56,81910.84,37465.83,214091.22,173.07,0,0,1,0,1,1,0,1,1,1
C221,8,Textile,Mid,1773,23242.5,11,6,1,7017.57,105.26,0.871,13.38,Tata Power,754.0,78.03,551.11,452.61,0.5299,169.58,0,886.5,12.69,733.2,293.3,146.6,146.6,0,462.8,23.14,26.140734471140092,5051.8,4984.31,4627.56,14663.67,8.27,0,0,1,0,0,0,1,1,0,1
C304,16,Pharmaceutical,SME,20,514.9,13,5,2,3608.63,54.13,0.863,13.57,MSEDCL,337.66,192.64,246.8,383.94,0.2373,80.29,0,10.0,46.87,352.9,141.2,70.6,70.6,0,223.8,11.19,21.69661529798079,2262.33,2557.4,2238.41,7058.13,352.91,0,0,1,0,0,0,0,0,0,1
C069,13,Energy,SME,805,10830.0,11,7,3,54725.49,820.88,0.872,9.89,Adani Electricity,8004.26,168.03,5850.39,209.47,5.6254,132.17,0,402.5,16.79,5636.6,2254.6,1127.3,1127.3,0,1866.7,93.34,32.64889220971614,53628.57,40436.6,18667.11,112732.28,140.04,0,1,1,1,1,1,1,1,1,1
C277,11,Food_Processing,SME,374,17283.2,13,5,3,3814.68,57.22,0.879,5.19,Adani Electricity,579.16,162.41,423.31,421.4,0.407,47.98,0,187.0,40.73,477.0,190.8,95.4,95.4,0,269.3,13.46,23.788753111035287,3880.35,2965.8,2692.89,9539.04,25.51,0,1,1,0,0,0,0,0,0,0
C095,14,Chemical,Mid,1094,31967.2,19,5,3,64362.46,965.44,0.947,26.98,Adani Electricity,6135.46,186.91,4484.46,499.57,4.312,387.0,0,547.0,24.22,5593.9,2237.6,1118.8,1118.8,0,3223.5,161.17,20.152607271012187,41107.57,38535.63,32234.53,111877.73,102.26,1,0,0,1,1,1,0,1,0,1
C153,1,Automotive,Enterprise,8491,151898.7,9,6,1,63954.23,959.31,0.905,6.85,BESCOM,10558.25,74.0,7717.12,308.2,7.4203,211.16,0,4245.5,49.58,7800.2,3120.1,1560.0,1560.0,0,3641.1,182.06,34.46601052610874,70740.25,48852.32,36411.33,156003.89,18.37,0,1,1,1,0,1,1,1,1,0
C385,4,Construction,Mid,534,6382.7,11,7,3,10564.38,158.47,0.861,4.65,BESCOM,1714.35,92.53,1253.04,349.25,1.2048,99.95,0,267.0,9.88,1328.8,531.5,265.8,265.8,0,683.0,34.15,32.40585604048398,11486.17,8259.89,6829.93,26575.99,49.77,0,1,1,0,0,1,1,1,0,0
C226,4,Textile,Mid,246,11954.5,15,5,2,11015.55,165.23,0.956,5.14,Tata Power,1164.26,180.88,850.97,285.9,0.8182,111.85,0,123.0,6.49,1220.0,488.0,244.0,244.0,0,803.1,40.15,22.112335571376555,7800.53,8568.88,8030.84,24400.25,99.19,0,1,0,0,0,1,1,1,0,1
C351,14,Electronics,Large,1858,19058.4,18,5,3,7481.41,112.22,0.896,17.67,BESCOM,913.81,79.87,667.91,127.24,0.6422,392.45,0,929.0,43.93,715.1,286.0,143.0,143.0,0,312.9,15.64,22.567657535131122,6122.55,5051.04,3128.64,14302.23,7.7,0,0,1,0,0,0,0,1,0,0
C354,6,Electronics,Enterprise,2529,43000.4,16,5,3,29250.45,438.76,0.965,5.83,BESCOM,4949.14,89.48,3617.37,482.62,3.4782,83.31,0,1264.5,28.69,3354.6,1341.8,670.9,670.9,0,1134.4,56.72,29.159913718769666,33159.27,22587.65,11344.35,67091.26,26.53,0,1,0,1,0,1,0,1,1,0
C030,11,Steel,Enterprise,2782,67432.2,18,5,3,181891.29,2728.37,0.947,12.11,BESCOM,24854.48,126.54,18166.37,490.97,17.4677,140.84,0,1391.0,24.03,17597.7,7039.1,3519.5,3519.5,0,5434.6,271.73,26.719931820033022,166525.05,131082.23,54345.91,351953.19,126.51,0,0,0,1,1,1,0,1,1,1
C192,10,Manufacturing,SME,528,18034.4,16,7,3,8853.72,132.81,0.941,22.54,BESCOM,921.96,58.77,673.87,448.7,0.648,438.85,0,264.0,42.64,720.3,288.1,144.1,144.1,0,260.5,13.03,31.614529652280844,6177.15,5623.76,2605.31,14406.23,27.28,0,0,0,0,0,0,0,1,0,0
C355,1,Electronics,Startup,71,1672.6,17,5,1,475.21,7.13,0.911,6.64,BESCOM,59.29,164.8,43.34,235.28,0.0417,28.84,0,35.5,35.89,56.7,22.7,11.3,11.3,0,37.2,1.86,22.08326443324319,397.27,363.79,372.32,1133.37,15.96,0,1,1,0,0,0,0,0,0,0
C065,19,Energy,SME,821,35433.0,24,6,2,37654.81,564.82,0.98,21.45,Tata Power,4795.31,162.95,3504.94,393.85,3.3701,9.9,0,410.5,34.37,3971.9,1588.8,794.4,794.4,0,2305.4,115.27,26.7583107214839,32128.58,24255.04,23054.35,79437.97,96.76,0,1,0,1,1,1,1,1,0,1
