listing_id,seller_id,material_type,quantity_kg,price_per_kg,latitude,longitude,industry,quality_grade,available_monthly,created_at
L0001,C387,E_Waste,2085,63.8,24.425734,79.053938,Textile,A,True,2026-02-21T22:27:27.170089
L0002,C423,Metal_Scrap,1553,27.49,21.900082,87.62396,Construction,C,True,2026-02-08T22:27:27.170158
L0003,C018,Metal_Scrap,187,37.8,29.982378,76.368839,Automotive,A,True,2026-02-16T22:27:27.170242
L0004,C328,Construction_Debris,2344,3.26,13.005828,78.117397,Manufacturing,C,True,2026-02-17T22:27:27.170295
L0005,C137,Paper,1921,6.23,11.189304,80.310302,Manufacturing,C,True,2026-02-20T22:27:27.170341
L0006,C304,Glass,1534,9.27,22.640577,80.598782,Pharmaceutical,B,True,2026-02-09T22:27:27.170386
L0007,C212,Construction_Debris,2148,1.83,20.858446,75.557036,Food_Processing,A,True,2026-02-23T22:27:27.170430
L0008,C020,Organic,3047,1.17,29.068496,77.634283,Pharmaceutical,C,True,2026-02-01T22:27:27.170473
L0009,C412,Metal_Scrap,1757,22.09,22.487139,86.403867,Manufacturing,C,True,2026-02-10T22:27:27.170517
L0010,C413,Metal_Scrap,3714,39.42,21.314296,80.603026,Manufacturing,B,False,2026-02-03T22:27:27.170561
L0011,C056,Metal_Scrap,4826,35.86,24.236764,80.59036,Chemical,A,True,2026-02-13T22:27:27.170604
L0012,C266,Organic,1809,0.73,20.639318,78.684485,Textile,B,True,2026-02-23T22:27:27.170648
L0013,C074,Metal_Scrap,1367,35.61,23.627851,83.587169,Construction,A,True,2026-02-26T22:27:27.170692
L0014,C342,Plastic,3131,9.99,20.07042,85.276,Energy,C,True,2026-02-03T22:27:27.170750
L0015,C467,Metal_Scrap,1547,19.32,24.067435,75.878603,Electronics,A,True,2026-02-09T22:27:27.170802
L0016,C375,E_Waste,1226,47.82,22.836562,79.935919,Automotive,C,True,2026-02-04T22:27:27.170846
L0017,C120,Wood,2781,2.16,23.030576,78.302009,Automotive,A,True,2026-02-12T22:27:27.170889
L0018,C112,Metal_Scrap,532,35.55,28.318561,76.485863,Textile,A,False,2026-02-17T22:27:27.170931
L0019,C245,Metal_Scrap,174,33.3,27.765032,74.333615,Chemical,A,False,2026-02-15T22:27:27.170974
L0020,C145,Metal_Scrap,3682,17.27,29.029873,79.902926,Food_Processing,B,True,2026-02-02T22:27:27.171017
L0021,C485,Wood,981,4.27,17.458773,80.064061,Steel,B,False,2026-02-12T22:27:27.171059
L0022,C350,Plastic,1498,6.79,24.139819,75.489052,Construction,A,False,2026-02-20T22:27:27.171101
L0023,C094,Construction_Debris,4131,1.1,28.397797,75.230744,Electronics,A,True,2026-02-26T22:27:27.171145
L0024,C155,Metal_Scrap,4313,28.38,22.454451,81.591312,Steel,C,True,2026-02-15T22:27:27.171187
L0025,C001,Metal_Scrap,3868,38.64,23.066324,76.110843,Food_Processing,A,False,2026-02-20T22:27:27.171228
L0026,C454,Metal_Scrap,681,17.91,13.223696,76.912864,Energy,A,False,2026-02-01T22:27:27.171270
L0027,C221,Organic,4459,2.83,10.501101,78.727669,Chemical,B,True,2026-02-12T22:27:27.171314
L0028,C437,Glass,1087,6.81,20.004355,77.274218,Automotive,C,True,2026-02-10T22:27:27.171359
L0029,C108,Construction_Debris,525,1.77,27.783306,76.664676,Automotive,C,False,2026-02-03T22:27:27.171401
L0030,C481,Metal_Scrap,3049,28.36,24.348495,88.565847,Automotive,A,True,2026-02-24T22:27:27.171443
L0031,C452,Organic,3847,2.47,28.056129,76.839223,Food_Processing,B,True,2026-02-06T22:27:27.171485
L0032,C245,Metal_Scrap,1640,26.91,21.579969,80.759308,Manufacturing,C,False,2026-02-14T22:27:27.171527
L0033,C180,E_Waste,1095,23.56,23.571801,87.443417,Electronics,C,True,2026-02-25T22:27:27.171569
L0034,C235,Metal_Scrap,2085,38.91,31.784097,79.526376,Construction,C,True,2026-02-10T22:27:27.171611
L0035,C298,Glass,3468,4.36,20.657651,77.07063,Manufacturing,A,True,2026-02-17T22:27:27.171653
L0036,C044,Organic,959,0.35,23.741227,80.344697,Steel,C,False,2026-02-19T22:27:27.171696
L0037,C001,Wood,1193,2.14,17.329021,78.532994,Pharmaceutical,C,True,2026-01-31T22:27:27.171749
L0038,C176,Plastic,3456,12.29,28.853688,74.027774,Textile,C,True,2026-02-14T22:27:27.171799
L0039,C035,E_Waste,1018,60.18,24.176951,81.637416,Electronics,C,False,2026-02-22T22:27:27.171843
L0040,C088,Metal_Scrap,479,27.99,23.704022,87.442326,Pharmaceutical,A,True,2026-02-09T22:27:27.171886
L0041,C418,Organic,3309,1.9,28.882356,77.635699,Food_Processing,A,True,2026-02-10T22:27:27.171929
L0042,C347,Glass,3032,7.09,26.906898,85.528194,Manufacturing,B,True,2026-02-11T22:27:27.171971
L0043,C285,Plastic,834,19.91,28.422348,74.819955,Food_Processing,B,True,2026-02-16T22:27:27.172013
L0044,C201,Metal_Scrap,4156,30.37,24.336073,79.319529,Chemical,A,True,2026-02-22T22:27:27.172056
L0045,C236,Construction_Debris,1372,4.28,28.096744,76.622456,Steel,B,True,2026-02-01T22:27:27.172098
L0046,C333,Metal_Scrap,447,30.63,23.560612,89.344248,Textile,A,True,2026-02-24T22:27:27.172140
L0047,C444,Plastic,1118,18.15,20.575022,80.419432,Food_Processing,C,True,2026-02-27T22:27:27.172181
L0048,C323,Organic,4082,0.7,30.591069,77.537859,Automotive,B,True,2026-02-17T22:27:27.172224
L0049,C162,E_Waste,2208,76.04,20.538081,88.998437,Steel,C,True,2026-02-02T22:27:27.172266
L0050,C218,Metal_Scrap,3531,15.03,20.759682,78.096278,Manufacturing,C,True,2026-02-23T22:27:27.172308
L0051,C007,Textile,3929,9.34,16.039039,80.041505,Food_Processing,A,True,2026-02-20T22:27:27.172350
L0052,C188,Metal_Scrap,1130,26.96,13.734334,81.99852,Automotive,A,True,2026-02-12T22:27:27.172392
L0053,C199,Construction_Debris,3286,3.4,12.18014,76.662392,Pharmaceutical,A,True,2026-02-26T22:27:27.172434
L0054,C396,E_Waste,1621,69.53,23.086135,79.735954,Textile,B,True,2026-01-30T22:27:27.172476
L0055,C262,Plastic,4704,6.31,15.200432,79.618608,Steel,A,True,2026-02-15T22:27:27.172519
L0056,C077,Plastic,558,6.12,16.762662,79.433574,Chemical,C,True,2026-02-21T22:27:27.172560
L0057,C410,Metal_Scrap,1255,33.88,22.493147,79.850205,Pharmaceutical,C,False,2026-02-14T22:27:27.172602
L0058,C102,Metal_Scrap,3464,15.13,12.488961,79.80144,Steel,C,True,2026-02-14T22:27:27.172645
L0059,C262,E_Waste,2817,46.09,28.332547,74.869069,Pharmaceutical,C,True,2026-02-03T22:27:27.172687
L0060,C161,Metal_Scrap,412,32.97,24.598082,76.15467,Automotive,B,True,2026-02-16T22:27:27.172729
L0061,C457,Metal_Scrap,69,33.31,15.338792,80.01184,Pharmaceutical,C,False,2026-02-08T22:27:27.172789
L0062,C392,Plastic,4057,6.54,21.224861,76.571831,Construction,B,True,2026-01-29T22:27:27.172833
L0063,C104,Organic,2427,2.49,21.295829,83.260989,Textile,B,False,2026-02-05T22:27:27.172876
L0064,C169,Plastic,358,12.65,27.171798,74.449107,Automotive,C,True,2026-01-30T22:27:27.172918
L0065,C179,Textile,3948,7.92,23.406677,81.835533,Construction,B,True,2026-02-08T22:27:27.172960
L0066,C446,E_Waste,1447,70.89,20.331698,81.101581,Construction,C,True,2026-02-04T22:27:27.173003
L0067,C181,Construction_Debris,662,3.81,26.396699,87.784893,Electronics,A,False,2026-02-04T22:27:27.173045
L0068,C170,Metal_Scrap,2884,18.66,23.682885,75.702135,Manufacturing,A,True,2026-02-20T22:27:27.173087
L0069,C221,Plastic,3508,8.18,22.156749,79.441091,Automotive,C,True,2026-02-21T22:27:27.173129
L0070,C128,Plastic,3811,13.08,29.455197,75.418169,Energy,A,True,2026-02-10T22:27:27.173171
L0071,C330,Metal_Scrap,1502,32.83,24.558854,79.897101,Pharmaceutical,A,False,2026-02-27T22:27:27.173214
L0072,C491,E_Waste,3191,71.78,20.466129,78.662933,Energy,C,True,2026-02-27T22:27:27.173267
L0073,C447,Organic,1732,1.39,20.87122,75.414584,Automotive,C,True,2026-02-27T22:27:27.173313
L0074,C463,Metal_Scrap,196,15.49,21.571704,79.183786,Chemical,B,True,2026-02-14T22:27:27.173356
L0075,C365,Glass,1537,4.64,17.560863,81.178348,Food_Processing,B,False,2026-01-31T22:27:27.173398
L0076,C004,Organic,4107,1.66,17.775933,81.588419,Energy,B,True,2026-01-31T22:27:27.173440
L0077,C445,Plastic,4724,11.1,30.290964,77.208991,Steel,A,True,2026-02-23T22:27:27.173482
L0078,C072,Metal_Scrap,1869,29.14,28.969723,78.726123,Chemical,C,True,2026-02-04T22:27:27.173526
L0079,C224,Organic,876,1.23,31.315914,79.167078,Construction,A,True,2026-02-09T22:27:27.173569
L0080,C038,Organic,4740,0.37,20.42319,86.083389,Construction,B,True,2026-01-30T22:27:27.173612
L0081,C056,Organic,2830,2.49,10.944234,78.366931,Pharmaceutical,C,True,2026-02-13T22:27:27.173654
L0082,C030,Organic,2425,0.96,31.21017,79.755,Automotive,B,True,2026-01-30T22:27:27.173696
L0083,C277,Metal_Scrap,2591,33.96,14.311536,79.539042,Steel,C,True,2026-02-16T22:27:27.173739
L0084,C436,Organic,292,1.74,23.577025,75.795487,Construction,A,True,2026-02-11T22:27:27.173807
L0085,C038,Metal_Scrap,4642,25.16,17.948443,81.075766,Manufacturing,B,False,2026-02-23T22:27:27.173856
L0086,C094,Paper,797,7.16,31.574961,74.560847,Pharmaceutical,A,False,2026-02-02T22:27:27.173900
L0087,C011,Construction_Debris,4737,1.59,24.116384,86.233364,Steel,B,True,2026-02-08T22:27:27.173943
L0088,C361,Metal_Scrap,1197,22.36,20.131362,75.663475,Electronics,A,True,2026-02-04T22:27:27.173986
L0089,C483,Construction_Debris,827,1.81,31.092681,74.080229,Automotive,A,True,2026-02-08T22:27:27.174029
L0090,C163,Paper,2797,5.28,24.789152,81.924533,Chemical,B,True,2026-02-03T22:27:27.174071
L0091,C137,Organic,2484,0.46,20.849943,80.569879,Textile,B,True,2026-02-15T22:27:27.174113
L0092,C269,Textile,2847,9.56,21.053241,84.158413,Construction,B,True,2026-02-13T22:27:27.174155
L0093,C290,Plastic,4068,12.6,29.969395,77.046038,Electronics,A,True,2026-01-29T22:27:27.174197
L0094,C167,Plastic,1795,10.59,24.864417,79.062324,Energy,B,True,2026-02-10T22:27:27.174240
L0095,C478,Construction_Debris,4143,3.8,24.178495,80.212169,Electronics,C,False,2026-02-01T22:27:27.174282
L0096,C300,Metal_Scrap,2169,37.01,21.937297,75.709169,Automotive,C,True,2026-02-09T22:27:27.174343
L0097,C278,Construction_Debris,2581,3.55,23.627552,78.088654,Food_Processing,A,True,2026-02-15T22:27:27.174389
L0098,C455,Metal_Scrap,4407,38.46,21.836537,83.267446,Electronics,A,True,2026-02-13T22:27:27.174432
L0099,C154,Paper,2252,5.93,27.685429,79.801585,Energy,C,False,2026-02-23T22:27:27.174474
L0100,C171,E_Waste,1254,51.29,23.003883,77.966091,Pharmaceutical,A,False,2026-02-26T22:27:27.174516
L0101,C401,Paper,585,5.08,20.80581,79.028887,Food_Processing,C,True,2026-02-11T22:27:27.174559
L0102,C197,Metal_Scrap,1015,23.04,28.865198,74.364818,Automotive,B,False,2026-02-22T22:27:27.174601
